Modelo,MAE,RMSE
Base,3.389193549019968,4.372122952613216
Lag1,1.8309613363743613,2.077280319847372
Lag1 + Lag2,2.0006090616815255,2.2144521829010695
Random Forest,3.350833528911567,4.2997703092442565
